name,year,langs,total_files,total_blanks,total_comment,comment_ratio,total_SLOCS,total_FP,cc_organic_effort,cc_organic_time,cc_organic_persons,cc_semide_effort,cc_semide_time, cc_semide_persons,cc_embedded_effort, cc_embedded_time, cc_embedded_persons
ExploitKit.Eleonore.1.4.4,2014,3,22,896,145,3.7682,3848,59.76,9.88,5.97,1.65,13.57,6.23,2.18,18.14,6.32,2.87
NBot,2008,3,82,1582,986,13.9069,7090,117.87,18.77,7.62,2.46,26.91,7.91,3.4,37.76,7.99,4.73
diesel,2000,1,1,147,47,14.2424,330,2.77,0.75,2.24,0.33,0.87,2.38,0.37,0.95,2.46,0.39
dissolution,2003,1,1,128,89,13.8846,641,5.39,1.5,2.92,0.51,1.82,3.08,0.59,2.11,3.17,0.67
PowerLoader,2013,5,45,1949,928,3.7247,24915,314.43,70.23,12.58,5.58,109.94,12.95,8.49,170.63,12.95,13.18
yonggary,2001,1,1,146,130,15.0637,863,7.25,2.06,3.29,0.63,2.54,3.46,0.73,3.02,3.56,0.85
xTBot0.0.2,2012,4,6,446,263,8.0037,3286,64.13,8.37,5.61,1.49,11.37,5.85,1.94,15.01,5.95,2.52
duovit,2005,1,1,19,6,6.0606,99,0.83,0.21,1.38,0.15,0.23,1.49,0.15,0.22,1.54,0.14
HellBotv3.0,2005,4,42,896,834,17.2207,4843,67.33,12.58,6.54,1.92,17.56,6.82,2.57,23.9,6.9,3.46
Combat,1996,1,1,10,46,53.4884,86,0.72,0.18,1.3,0.14,0.19,1.4,0.14,0.19,1.47,0.13
ExploitKit.BlackHole.100,2012,3,64,29,30,0.3492,8592,136.09,22.96,8.22,2.79,33.37,8.53,3.91,47.56,8.6,5.53
ExploitKit.BlackHole.102,2012,3,64,29,30,0.3492,8592,136.09,22.96,8.22,2.79,33.37,8.53,3.91,47.56,8.6,5.53
p-adic,2002,1,1,326,96,12.8686,746,6.27,1.76,3.1,0.57,2.16,3.27,0.66,2.53,3.36,0.75
Nanomites,2005,1,11,254,691,20.134,3432,28.84,8.76,5.7,1.54,11.94,5.96,2.0,15.81,6.05,2.61
Zombie.32,1999,1,1,17,15,62.5,24,0.2,0.05,0.8,0.06,0.05,0.88,0.06,0.04,0.89,0.04
KINS,2011,9,267,16005,10726,11.9897,89460,1462.87,268.8,20.95,12.83,460.2,21.38,21.52,791.15,21.15,37.41
bv3,1987,1,1,0,0,0.0,67,1.6,0.14,1.18,0.12,0.15,1.29,0.12,0.14,1.33,0.11
sabia,2000,4,9,1021,173,5.8347,2965,26.1,7.51,5.38,1.4,10.13,5.62,1.8,13.27,5.72,2.32
vbBot,2005,2,12,165,228,10.7598,2119,50.16,5.28,4.7,1.12,6.96,4.93,1.41,8.86,5.02,1.76
Yobe,1999,1,1,75,218,29.2225,746,6.27,1.76,3.1,0.57,2.16,3.27,0.66,2.53,3.36,0.75
prc-ko,2005,1,1,61,117,28.0576,417,3.5,0.96,2.46,0.39,1.13,2.61,0.43,1.26,2.69,0.47
vera,2007,2,2,200,134,8.1261,1649,13.88,4.06,4.26,0.95,5.25,4.47,1.17,6.56,4.56,1.44
Obsidian,2003,1,1,143,173,24.6088,703,5.91,1.66,3.03,0.55,2.02,3.2,0.63,2.36,3.29,0.72
fag,2005,1,6,293,17,2.0286,838,7.04,1.99,3.25,0.61,2.46,3.43,0.72,2.91,3.52,0.83
Rammstein,2000,2,6,770,333,6.1371,5426,45.75,14.17,6.85,2.07,19.94,7.13,2.8,27.4,7.21,3.8
gibraltar_monkey,2000,1,1,176,32,9.6677,331,2.78,0.75,2.24,0.33,0.87,2.38,0.37,0.96,2.47,0.39
chthon,2001,3,3,179,229,19.4232,1179,12.3,2.85,3.72,0.77,3.61,3.92,0.92,4.39,4.01,1.09
Win32.ogw0rm,2008,3,22,82,6,1.5075,398,7.09,0.91,2.41,0.38,1.07,2.56,0.42,1.19,2.64,0.45
tereza,2005,1,1,129,157,24.8025,633,5.32,1.48,2.9,0.51,1.8,3.07,0.59,2.08,3.16,0.66
infancy,2001,1,1,45,154,42.0765,366,3.08,0.84,2.34,0.36,0.97,2.47,0.39,1.08,2.56,0.42
bagle,2004,2,27,1215,487,8.8966,5474,46.02,14.3,6.87,2.08,20.14,7.15,2.82,27.69,7.24,3.82
Cairuh,2009,2,8,74,24,0.1035,23191,239.49,65.13,12.22,5.33,101.46,12.59,8.06,156.56,12.6,12.43
ShadowBot,2008,3,10,163,93,6.5401,1422,21.5,3.47,4.01,0.87,4.45,4.22,1.05,5.49,4.31,1.27
cermalus,2007,1,1,189,208,10.3072,2018,16.96,5.02,4.62,1.09,6.59,4.84,1.36,8.36,4.93,1.7
babylonia,1999,1,1,198,8,0.3772,2121,17.82,5.29,4.71,1.12,6.96,4.93,1.41,8.87,5.03,1.76
Alina,2013,6,32,657,64,2.0363,3143,55.68,7.99,5.51,1.45,10.82,5.75,1.88,14.23,5.85,2.43
a443,2002,2,2,27,15,7.9787,188,1.58,0.42,1.8,0.23,0.46,1.91,0.24,0.48,1.98,0.24
Zeus,2007,9,249,12934,10534,17.0586,61752,961.37,182.14,18.07,10.08,303.84,18.49,16.43,507.09,18.35,27.63
supervixen,2014,1,1,46,159,30.2857,525,4.41,1.22,2.7,0.45,1.46,2.85,0.51,1.66,2.94,0.56
Chainsaw,2000,2,2,325,331,35.4011,935,8.01,2.24,3.4,0.66,2.78,3.58,0.78,3.32,3.67,0.9
krized,1999,1,1,792,599,42.3921,1413,11.87,3.45,4.0,0.86,4.42,4.21,1.05,5.45,4.3,1.27
Antares,2007,1,2,303,625,18.137,3446,28.96,8.8,5.71,1.54,11.99,5.96,2.01,15.89,6.06,2.62
ordy,2000,1,1,62,14,3.9773,352,2.96,0.8,2.3,0.35,0.93,2.44,0.38,1.03,2.52,0.41
Rudra,2001,1,1,413,149,11.7508,1268,10.66,3.08,3.83,0.8,3.91,4.03,0.97,4.79,4.13,1.16
clt20,2013,4,16,134,520,33.4405,1555,16.62,3.82,4.16,0.92,4.92,4.37,1.13,6.11,4.46,1.37
bullmoose,2009,2,2,2,1,3.5714,28,0.33,0.06,0.86,0.07,0.05,0.88,0.06,0.05,0.96,0.05
lotek,2000,1,1,36,74,57.3643,129,1.08,0.28,1.54,0.18,0.3,1.64,0.18,0.31,1.72,0.18
Gift,1998,1,1,50,31,18.2353,170,1.75,0.37,1.71,0.22,0.41,1.83,0.22,0.43,1.91,0.23
xtail,2008,2,2,103,255,43.2937,589,5.19,1.38,2.83,0.49,1.66,2.99,0.56,1.91,3.08,0.62
h8urnmes,1995,1,1,162,48,10.2784,467,3.92,1.08,2.57,0.42,1.28,2.73,0.47,1.44,2.81,0.51
