name,language,files,blank_lines,comments,SLOCs,year
808,Assembly,1,72,10,226,1991
ACME,Assembly,1,60,53,182,1992
AIDS,Pascal,1,12,15,107,1989
Alina,C,2,69,8,491,2013
Alina,PHP,9,140,2,633,2013
Alina,C/C++ Header,9,72,0,289,2013
Alina,C++,10,353,24,1600,2013
Alina,SQL,1,19,30,112,2013
Alina,DOS Batch,1,4,0,18,2013
Anaphylaxis,Assembly,1,185,218,937,1998
Anarxy,make,1,4,0,17,2001
Anarxy,DOS Batch,1,0,0,1,2001
Anarxy,Assembly,1,1444,221,5610,2001
Anarxy,Windows Module Definition,1,5,0,7,2001
Androrat,XML,7,47,41,197,2012
Androrat,Java,104,2448,894,10538,2012
ANIMAL,Assembly,1,2,645,1089,1975
Antares,Assembly,2,303,625,3446,2007
Anthrax,Assembly,1,23,34,393,1990
Apocalyptic,Assembly,1,120,90,467,1996
Asexual,Assembly,1,123,103,636,1993
Assiral,C++,1,38,1,476,2005
Babylon,Assembly,5,213,95,2926,1999
Badbrains,Assembly,1,64,14,198,1991
Batvir,Assembly,1,44,12,181,1994
BatzBack,C,1,46,28,3092,2008
Beagle,Windows Resource File,1,0,0,1,2004
Beagle,Assembly,27,1216,488,5476,2004
Beavis,Assembly,1,112,22,247,1993
Beetle,C/C++ Header,8,52,12,3882,2013
Beetle,make,1,1,0,15,2013
Beetle,C++,8,355,273,2947,2013
BeGemot,Assembly,1,166,214,5910,1999
Blackhand,Assembly,9,305,528,2114,2005
Blaster,C++,1,231,489,631,2003
Bluelightening,DOS Batch,1,1,0,7,1995
Bluelightening,Assembly,2,118,120,758,1995
Bluelightening,Windows Module Definition,2,0,0,10,1995
Bluenine,Assembly,1,96,18,462,1994
BO2K,Windows Resource File,4,206,185,1455,2007
BO2K,C/C++ Header,116,1705,2222,4482,2007
BO2K,C,1,55,20,153,2007
BO2K,C++,77,5367,3424,21939,2007
BO2K,Windows Module Definition,8,0,0,40,2007
Bvs,Visual Basic,1,0,0,81,1987
Cabanas,Assembly,1,373,673,1596,1997
Cairuh,C,7,74,24,23180,2009
Cairuh,DOS Batch,1,0,0,11,2009
Carberp,C/C++ Header,41,2675,8704,10977,2010
Carberp,MSBuild script,4,0,0,2251,2010
Carberp,Windows Module Definition,1,0,0,1,2010
Carberp,C++,41,3875,2270,14070,2010
Caribe,C/C++ Header,8,131,38,255,2004
Caribe,DOS Batch,1,4,2,9,2004
Caribe,C++,7,256,89,579,2004
Ch0lera,C/C++ Header,1,67,6,1410,1998
Ch0lera,C,1,200,158,871,1998
Chainsaw,DOS Batch,1,0,0,4,2000
Chainsaw,Assembly,1,325,331,931,2000
CIA,Assembly,1,35,4,202,1989
Combat,Assembly,1,10,46,86,1996
CSV,make,2,12,42,26,1997
CSV,HTML,1,15,0,120,1997
CSV,Assembly,10,253,121,1257,1997
CSV,DOS Batch,1,0,0,1,1997
DarkApocalypse,Assembly,1,161,19,380,1993
Demiurg,Assembly,1,397,434,2802,1999
Demonhyak,Assembly,1,12,10,102,1991
Dendroid,XML,11,26,15,319,2014
Dendroid,MSBuild script,1,0,7,126,2014
Dendroid,Java,12,389,581,4136,2014
Dendroid,ASP.Net,1,0,0,23,2014
Dendroid,Javascript,6,486,337,1279,2014
Dendroid,DOS Batch,1,0,0,3,2014
Dendroid,SQL,1,7,0,41,2014
Dendroid,Visual Basic,7,201,218,1811,2014
Dendroid,PHP,30,235,6,2020,2014
Dendroid,CSS,4,678,20,4003,2014
Dexter,C,8,700,232,1562,2012
Dexter,MSBuild script,1,0,0,328,2012
Dexter,C/C++ Header,3,28,30,115,2012
Dexter,SQL,1,24,37,52,2012
Dexter,PHP,11,181,83,615,2012
Dexter,CSS,1,6,0,29,2012
Diamond,Assembly,1,2,22,510,1990
Dichotomy,Assembly,1,25,18,296,1994
Digitisedparasite,Assembly,1,141,66,430,1994
Dream,Assembly,1,62,226,1556,2000
DW,C,2,27,0,70,2002
DW,DOS Batch,4,3,0,16,2002
DW,Assembly,30,1190,490,4250,2002
Eddie,Assembly,1,86,100,827,1989
Efishnc,DOS Batch,1,2,0,14,2002
Efishnc,Assembly,2,406,364,2441,2002
Egypt,Assembly,1,291,313,1863,2005
ElkCloner,Assembly,1,0,0,400,1982
Energy,Assembly,1,77,124,526,2000
Eternity,Assembly,1,189,474,344,2005
Examplo,DOS Batch,1,0,0,5,2000
Examplo,Assembly,2,152,93,492,2000
Fabi2,Visual Basic,1,0,1,117,1999
Fabi2,Assembly,1,76,14,1214,1999
Friendly,Assembly,2,55,28,796,2005
Galicia,Visual Basic,1,4,23,19,1996
Gemini,DOS Batch,1,2,0,14,2002
Gemini,Assembly,2,224,266,1366,2002
GhostRAT,C/C++ Header,105,1987,3508,7717,2007
GhostRAT,make,1,1,5,1,2007
GhostRAT,C,1,21,10,117,2007
GhostRAT,C++,85,4969,6328,24164,2007
GhostRAT,Windows Module Definition,1,2,3,2,2007
GhostRAT,Windows Resource File,6,147,158,717,2007
GhostRAT,HTML,1,51,4,443,2007
GhostRAT,DOS Batch,1,5,0,9,2007
Gift,C,1,50,31,170,1998
Gopnik,C#,83,2260,1305,17386,2014
Gopnik,XML,1,5,0,4249,2014
Grifin,Assembly,2,927,221,2867,2002
Gripb,C,1,3,5,47,2005
Gripb,Assembly,14,155,227,1215,2005
Gripb,make,2,10,14,34,2005
Grum,XML,2,0,0,29,2008
Grum,C/C++ Header,43,58,0,686,2008
Grum,MSBuild script,1,0,0,214,2008
Grum,XSLT,1,28,2,202,2008
Grum,C++,1,316,479,2236,2008
Grum,DOS Batch,1,0,2,2,2008
Grum,SQL,2,43,61,361,2008
Grum,PHP,45,778,178,2860,2008
Grum,CSS,1,0,0,207,2008
Gurdof,Pascal,1,21,68,85,2006
Harrier,Assembly,1,254,171,3325,1997
Hexbot2,C,2,373,32,24310,2009
Hexbot2,DOS Batch,1,1,0,12,2009
Hexbot2,C/C++ Header,1,11,10,59,2009
Hidan,DOS Batch,1,2,0,16,2005
Hidan,Assembly,2,152,195,937,2005
Icecubes,Windows Resource File,1,16,0,72,2000
