name,year,langs,total_files,total_blanks,total_comment,comment_ratio,total_SLOCS,total_FP,cc_organic_effort,cc_organic_time,cc_organic_persons,cc_semide_effort,cc_semide_time, cc_semide_persons,cc_embedded_effort, cc_embedded_time, cc_embedded_persons,avg_cyclomatic_complexity_per_function,maintainability_index
42,2008,3,7,63,35,4.321,810,9.09,1.92,3.2,0.6,2.37,3.38,0.7,2.8,3.48,0.8,3.35,69.679
adhoca,2003,2,2,29,11,6.3584,173,2.16,0.38,1.73,0.22,0.42,1.85,0.23,0.44,1.92,0.23,3.0,72.156
adhocb,2003,3,7,45,40,13.8408,289,4.14,0.65,2.12,0.31,0.75,2.26,0.33,0.81,2.34,0.35,2.26,71.637
Alina,2013,6,32,657,64,2.0363,3143,55.68,7.99,5.51,1.45,10.82,5.75,1.88,14.23,5.85,2.43,3.17,68.551
Androrat,2012,2,111,2495,935,8.7098,10735,204.62,29.01,8.99,3.23,42.82,9.31,4.6,62.12,9.37,6.63,1.85,71.568
arches,2006,4,11,151,157,9.6914,1620,16.06,3.98,4.23,0.94,5.15,4.44,1.16,6.42,4.53,1.42,4.31,62.697
AryanRAT,2010,3,17,1957,1307,11.0082,11873,236.64,32.25,9.36,3.45,47.93,9.69,4.95,70.11,9.74,7.2,8.52,61.238
Assiral,2005,1,1,38,1,0.2101,476,9.52,1.1,2.59,0.42,1.31,2.75,0.48,1.48,2.83,0.52,4.78,61.764
Athena,2015,6,103,2832,2238,17.1429,13055,252.18,35.63,9.72,3.67,53.31,10.05,5.3,78.57,10.1,7.78,5.76,65.799
BatzBack,2008,1,1,46,28,0.9056,3092,31.88,7.85,5.47,1.44,10.62,5.72,1.86,13.95,5.81,2.4,1.85,47.915
Beetle,2013,3,17,408,285,4.1642,6844,99.67,18.08,7.51,2.41,25.86,7.8,3.32,36.2,7.88,4.59,3.7,69.411
blacky,2005,3,4,205,98,6.2942,1557,15.17,3.82,4.16,0.92,4.93,4.37,1.13,6.12,4.46,1.37,12.0,56.991
Blaster,2003,1,1,231,489,77.496,631,12.62,1.48,2.9,0.51,1.79,3.07,0.58,2.07,3.16,0.66,6.44,58.87
BO2K,2007,5,206,7333,5851,20.8451,28069,529.77,79.59,13.19,6.03,125.64,13.57,9.26,196.87,13.55,14.53,5.78,68.563
branko,2010,1,1,17,53,27.0408,196,2.02,0.43,1.81,0.24,0.48,1.93,0.25,0.51,2.02,0.25,2.57,68.086
brundle,2001,7,20,697,923,21.0059,4394,62.16,11.36,6.29,1.81,15.74,6.56,2.4,21.27,6.65,3.2,7.18,62.738
BshadesFusion,2012,2,17,439,129,5.7951,2226,49.68,5.56,4.8,1.16,7.35,5.03,1.46,9.4,5.12,1.84,4.31,66.443
