name,year,type
ExploitKit.Eleonore.1.4.4,2014,exploitkit
NBot,2008,botnet
diesel,2000,trojan
dissolution,2003,virus
PowerLoader,2013,botnet
yonggary,2001,virus
xTBot0.0.2,2012,botnet
duovit,2005,virus
HellBotv3.0,2005,botnet
Combat,1996,virus
ExploitKit.BlackHole.100,2012,exploitkit
ExploitKit.BlackHole.102,2012,exploitkit
p-adic,2002,virus
Nanomites,2005,virus
Zombie.32,1999,virus
KINS,2011,trojan
bv3,1987,virus
sabia,2000,virus
vbBot,2005,botnet
Yobe,1999,virus
prc-ko,2005,virus
vera,2007,virus
Obsidian,2003,worm
fag,2005,virus
Rammstein,2000,virus
gibraltar_monkey,2000,virus
chthon,2001,virus
Win32.ogw0rm,2008,worm
tereza,2005,virus
infancy,2001,virus
bagle,2004,worm
Cairuh,2009,worm
ShadowBot,2008,botnet
cermalus,2007,virus
babylonia,1999,virus
Alina,2013,trojan
a443,2002,virus
Zeus,2007,trojan
supervixen,2014,virus
Chainsaw,2000,worm
krized,1999,virus
Antares,2007,virus
ordy,2000,virus
Rudra,2001,virus
clt20,2013,virus
bullmoose,2009,trojan
lotek,2000,virus
Gift,1998,worm
xtail,2008,virus
h8urnmes,1995,virus
Kekule,2006,worm
Energy,2000,worm
idele,2000,virus
relock,2007,virus
weird,1999,virus
pica,2001,virus
Grifin,2002,worm
Dexter,2012,trojan
Tapakan,2001,virus
anticaro,1996,virus
7son4,1994,virus
7son2,1994,virus
vit,1999,virus
Beavis,1993,virus
TinyBanker,2012,trojan
ExploitKit.Fragus,2009,exploitkit
DBotv3.1,2007,botnet
purplecat,2008,virus
m1,1998,virus
siilov,1999,virus
zorm,1998,virus
breathe,2006,virus
bombast,2011,virus
PlasmaHTTP,2014,trojan
stutter,2007,virus
XTC,2000,worm
PGPMorf2,1998,virus
tirannis,2005,virus
arches,2006,virus
brundle,2001,virus
kody,1999,virus
lacrimae30,2008,virus
Nicole,2001,virus
nuxbee,2002,virus
Taichi,2002,virus
pirus,2000,virus
Beagle,2004,botnet
Tinba,2014,trojan
DopeBotv0.22_Crippled,2007,botnet
cairuhb,2009,worm
RedTeam,1997,virus
Apocalyptic,1996,virus
